DateTime,Real Manufacturing and Trade Industries Sales
4/1/2006,-0.009449294
5/1/2006,0.00821813
6/1/2006,-0.002752697
7/1/2006,-0.004340907
8/1/2006,0.00560763
9/1/2006,-0.000181265
10/1/2006,0.00072519
11/1/2006,0.000579732
12/1/2006,0.015995108
1/1/2007,-0.006098855
2/1/2007,0.006000171
3/1/2007,0.001254125
4/1/2007,-0.001724284
5/1/2007,0.006691826
6/1/2007,-0.001137681
7/1/2007,-0.00595847
8/1/2007,0.012551948
9/1/2007,0.000484514
10/1/2007,0.005312664
11/1/2007,-0.00242771
12/1/2007,-0.008145318
1/1/2008,0.005027916
2/1/2008,-0.009557134
3/1/2008,-0.01325331
4/1/2008,0.010190237
5/1/2008,-0.006913119
6/1/2008,-0.001336879
7/1/2008,-0.017244862
8/1/2008,-0.007344173
9/1/2008,-0.024596313
10/1/2008,-0.009318486
11/1/2008,-0.027284998
12/1/2008,-0.005432064
1/1/2009,-0.021201312
2/1/2009,0.006206656
3/1/2009,-0.020633772
4/1/2009,-0.007787618
5/1/2009,0.000430992
6/1/2009,-0.001580872
7/1/2009,0.014770978
8/1/2009,0.000573106
9/1/2009,0.001183433
10/1/2009,0.004922836
11/1/2009,0.007507392
12/1/2009,0.003361173
1/1/2010,-0.002860325
2/1/2010,0.006604268
3/1/2010,0.012679351
4/1/2010,0.008944306
5/1/2010,-0.003130965
6/1/2010,0.009635632
7/1/2010,0.008473584
8/1/2010,0.00050786
9/1/2010,-0.000155246
10/1/2010,0.005162301
11/1/2010,0.002854277
12/1/2010,0.001778305
1/1/2011,0.012256727
2/1/2011,-0.014322787
3/1/2011,0.011454866
4/1/2011,-0.003648079
5/1/2011,-0.007848635
6/1/2011,0.010104876
7/1/2011,0.00453728
8/1/2011,0.007421592
9/1/2011,-0.006496983
10/1/2011,0.012624501
11/1/2011,-0.003617963
12/1/2011,0.00876382
1/1/2012,0.005913254
2/1/2012,0.003601711
3/1/2012,-0.000926031
4/1/2012,0.003261555
5/1/2012,0.0030324
6/1/2012,-0.002787184
7/1/2012,0.001902768
8/1/2012,-0.000890512
9/1/2012,0.001506456
10/1/2012,-0.003864497
11/1/2012,0.018427783
12/1/2012,0.003703502
1/1/2013,0.003103646
2/1/2013,0.004092252
3/1/2013,-0.005383654
4/1/2013,-0.001415517
5/1/2013,0.011315063
6/1/2013,-0.003104657
7/1/2013,0.00018329
8/1/2013,0.004149798
9/1/2013,0.00347469
10/1/2013,0.005435281
11/1/2013,0.012158908
12/1/2013,-0.003803101
1/1/2014,-0.010145175
2/1/2014,0.008478962
3/1/2014,0.008105795
4/1/2014,0.001123529
5/1/2014,0.00274983
6/1/2014,-0.000134739
7/1/2014,0.006126387
8/1/2014,0.001893693
9/1/2014,-0.000210957
10/1/2014,0.001482422
11/1/2014,0.002471933
12/1/2014,0.005729243
1/1/2015,0.001979498
2/1/2015,-0.004013818
3/1/2015,0.005551022
4/1/2015,0.007785129
5/1/2015,-0.010284847
6/1/2015,0.001723796
7/1/2015,0.002746915
8/1/2015,0.001249399
9/1/2015,0.009791099
10/1/2015,-0.002111528
11/1/2015,-0.001986954
12/1/2015,-0.001440442
1/1/2016,0.000683777
2/1/2016,0.007997675
3/1/2016,0.000400877
4/1/2016,-0.000919247
5/1/2016,-0.005612943
6/1/2016,0.005994347
7/1/2016,-0.000798889
8/1/2016,0.007630829
9/1/2016,0.001419153
10/1/2016,0.001230969
11/1/2016,0.000386762
12/1/2016,0.012191667
1/1/2017,0.002781665
2/1/2017,-0.001594636
3/1/2017,-0.002095339
4/1/2017,-0.003520151
5/1/2017,0.00404093
6/1/2017,0.003315555
7/1/2017,0.004028212
8/1/2017,0.005572374
9/1/2017,0.004850893
10/1/2017,0.005680063
11/1/2017,0.007472736
12/1/2017,0.006607176
1/1/2018,-0.013136818
2/1/2018,0.005002912
3/1/2018,-0.002211734
4/1/2018,0.000106576
5/1/2018,0.007440211
6/1/2018,-0.004671252
7/1/2018,0.002231041
8/1/2018,0.004874876
9/1/2018,-0.000342065
10/1/2018,-0.003212824
11/1/2018,0.003304203
12/1/2018,-0.002218688
1/1/2019,0.002093697
2/1/2019,-0.001908659
3/1/2019,-0.00222038
4/1/2019,-0.007599385
5/1/2019,0.006198036
6/1/2019,0.001186232
7/1/2019,0.0006376
8/1/2019,0.002624159
9/1/2019,-0.003193236
10/1/2019,-0.011232053
11/1/2019,0.00517499
12/1/2019,-0.004204734
1/1/2020,-0.001227275
2/1/2020,0.004377406
3/1/2020,-0.043601193
4/1/2020,-0.112772168
5/1/2020,0.079482135
6/1/2020,0.076185349
7/1/2020,0.026791304
8/1/2020,0.002621334
9/1/2020,0.004285432
10/1/2020,0.008402085
11/1/2020,0.000128315
12/1/2020,0.008456518
1/1/2021,0.020504215
2/1/2021,-0.02935818
3/1/2021,0.035565108
4/1/2021,5.46E-05
5/1/2021,-0.020657921
6/1/2021,0.002384729
7/1/2021,0.00298944
8/1/2021,-0.006115084
9/1/2021,0.003564342
10/1/2021,0.006166544
11/1/2021,0.003077677
12/1/2021,-0.001706841
1/1/2022,0.013385167
2/1/2022,-0.007618507
3/1/2022,-0.004204262
4/1/2022,-0.000759105
5/1/2022,-0.013828797
6/1/2022,-0.003499639
7/1/2022,0.004843276
8/1/2022,0.013236889
9/1/2022,-0.003000316
10/1/2022,0.00321338
11/1/2022,-0.009378673
12/1/2022,0.010190503
1/1/2023,0.013164111
2/1/2023,-0.007436782
3/1/2023,-0.008546252
4/1/2023,-0.00097966
5/1/2023,0.009329889
6/1/2023,-0.00266316
7/1/2023,0.009461533
8/1/2023,-0.001472042
9/1/2023,0.005303666
10/1/2023,0.000260239
11/1/2023,0.006688867
12/1/2023,0.007787814
1/1/2024,-0.010101563
2/1/2024,0.004426697
3/1/2024,-0.001467295
4/1/2024,-0.002467455
5/1/2024,0.006196544
6/1/2024,0.004781695
7/1/2024,0.007188447
8/1/2024,0.000374572
9/1/2024,0.007180212
10/1/2024,-0.001847785
11/1/2024,0.004278963
12/1/2024,0.00839331
1/1/2025,-0.009518565
2/1/2025,0.008667179
3/1/2025,-0.015917865
