DateTime,
20060430,1
20060531,1
20060630,1
20060731,1
20060831,1
20060930,1
20061031,1
20061130,1
20061231,1
20070131,1
20070228,1
20070331,1
20070430,1
20070531,1
20070630,1
20070731,1
20070831,1
20070930,1
20071031,2
20071130,2
20071231,2
20080131,2
20080229,2
20080331,2
20080430,2
20080531,2
20080630,2
20080731,2
20080831,2
20080930,2
20081031,2
20081130,2
20081231,2
20090131,2
20090228,2
20090331,2
20090430,1
20090531,1
20090630,1
20090731,1
20090831,1
20090930,1
20091031,1
20091130,1
20091231,1
20100131,1
20100228,1
20100331,1
20100430,1
20100531,1
20100630,1
20100731,1
20100831,1
20100930,1
20101031,1
20101130,1
20101231,1
20110131,1
20110228,1
20110331,1
20110430,1
20110531,1
20110630,1
20110731,1
20110831,1
20110930,1
20111031,1
20111130,1
20111231,1
20120131,1
20120229,1
20120331,1
20120430,1
20120531,1
20120630,1
20120731,1
20120831,1
20120930,1
20121031,1
20121130,1
20121231,1
20130131,1
20130228,1
20130331,1
20130430,1
20130531,1
20130630,1
20130731,1
20130831,1
20130930,1
20131031,1
20131130,1
20131231,1
20140131,1
20140228,1
20140331,1
20140430,1
20140531,1
20140630,1
20140731,1
20140831,1
20140930,1
20141031,1
20141130,1
20141231,1
20150131,1
20150228,1
20150331,1
20150430,1
20150531,1
20150630,1
20150731,1
20150831,1
20150930,1
20151031,1
20151130,1
20151231,1
20160131,1
20160229,1
20160331,1
20160430,1
20160531,1
20160630,1
20160731,1
20160831,1
20160930,1
20161031,1
20161130,1
20161231,1
20170131,1
20170228,1
20170331,1
20170430,1
20170531,1
20170630,1
20170731,1
20170831,1
20170930,1
20171031,1
20171130,1
20171231,1
20180131,1
20180228,1
20180331,1
20180430,1
20180531,1
20180630,1
20180731,1
20180831,1
20180930,1
20181031,1
20181130,1
20181231,1
20190131,1
20190228,1
20190331,1
20190430,1
20190531,1
20190630,1
20190731,1
20190831,1
20190930,1
20191031,2
20191130,2
20191231,2
20200131,2
20200229,2
20200331,2
20200430,1
20200531,1
20200630,1
20200731,1
20200831,1
20200930,1
20201031,1
20201130,1
20201231,1
20210131,1
20210228,1
20210331,1
20210430,1
20210531,1
20210630,1
20210731,1
20210831,1
20210930,1
20211031,1
20211130,1
20211231,1
20220131,1
20220228,1
20220331,1
20220430,1
20220531,1
20220630,1
20220731,1
20220831,1
20220930,1
20221031,1
20221130,1
20221231,1
20230131,1
20230228,1
20230331,1
20230430,1
20230531,1
20230630,1
20230731,1
20230831,1
20230930,1
20231031,1
20231130,1
20231231,1
20240131,1
20240229,1
20240331,1
20240430,1
20240531,1
20240630,1
20240731,1
20240831,1
20240930,1
20241031,1
20241130,1
20241231,1
20250131,1
20250228,1
20250331,1
