DateTime,CLI
20060401,101.33
20060501,101.26
20060601,101.2
20060701,101.17
20060801,101.18
20060901,101.24
20061001,101.34
20061101,101.45
20061201,101.58
20070101,101.7
20070201,101.81
20070301,101.94
20070401,102.05
20070501,102.14
20070601,102.19
20070701,102.17
20070801,102.1
20070901,101.99
20071001,101.87
20071101,101.74
20071201,101.62
20080101,101.49
20080201,101.34
20080301,101.18
20080401,100.98
20080501,100.7
20080601,100.31
20080701,99.77
20080801,99.07
20080901,98.22
20081001,97.29
20081101,96.4
20081201,95.65
20090101,95.1
20090201,94.8
20090301,94.76
20090401,94.96
20090501,95.35
20090601,95.85
20090701,96.4
20090801,96.95
20090901,97.48
20091001,97.97
20091101,98.42
20091201,98.83
20100101,99.19
20100201,99.45
20100301,99.63
20100401,99.7
20100501,99.68
20100601,99.6
20100701,99.53
20100801,99.53
20100901,99.6
20101001,99.72
20101101,99.9
20101201,100.1
20110101,100.26
20110201,100.36
20110301,100.36
20110401,100.26
20110501,100.06
20110601,99.8
20110701,99.51
20110801,99.27
20110901,99.14
20111001,99.16
20111101,99.3
20111201,99.52
20120101,99.73
20120201,99.88
20120301,99.94
20120401,99.91
20120501,99.82
20120601,99.7
20120701,99.61
20120801,99.58
20120901,99.61
20121001,99.68
20121101,99.78
20121201,99.9
20130101,100.05
20130201,100.2
20130301,100.32
20130401,100.44
20130501,100.55
20130601,100.64
20130701,100.69
20130801,100.72
20130901,100.74
20131001,100.74
20131101,100.74
20131201,100.74
20140101,100.73
20140201,100.75
20140301,100.79
20140401,100.85
20140501,100.9
20140601,100.94
20140701,100.95
20140801,100.95
20140901,100.94
20141001,100.91
20141101,100.86
20141201,100.79
20150101,100.7
20150201,100.6
20150301,100.49
20150401,100.38
20150501,100.26
20150601,100.14
20150701,99.98
20150801,99.79
20150901,99.62
20151001,99.47
20151101,99.35
20151201,99.25
20160101,99.17
20160201,99.11
20160301,99.09
20160401,99.1
20160501,99.1
20160601,99.1
20160701,99.12
20160801,99.17
20160901,99.25
20161001,99.38
20161101,99.53
20161201,99.68
20170101,99.8
20170201,99.88
20170301,99.92
20170401,99.94
20170501,99.94
20170601,99.96
20170701,100
20170801,100.07
20170901,100.18
20171001,100.31
20171101,100.44
20171201,100.57
20180101,100.69
20180201,100.81
20180301,100.88
20180401,100.9
20180501,100.88
20180601,100.83
20180701,100.76
20180801,100.66
20180901,100.52
20181001,100.33
20181101,100.11
20181201,99.89
20190101,99.68
20190201,99.51
20190301,99.37
20190401,99.24
20190501,99.12
20190601,99.01
20190701,98.93
20190801,98.87
20190901,98.88
20191001,98.93
20191101,99.01
20191201,99.09
20200101,99.13
20200201,99.09
20200301,97.7
20200401,92.81
20200501,94.35
20200601,96.16
20200701,97.77
20200801,98.46
20200901,98.76
20201001,99.13
20201101,99.53
20201201,99.95
20210101,100.32
20210201,100.7
20210301,101.02
20210401,101.28
20210501,101.35
20210601,101.34
20210701,101.29
20210801,101.22
20210901,101.16
20211001,101.12
20211101,101.08
20211201,101.03
20220101,100.94
20220201,100.8
20220301,100.6
20220401,100.34
20220501,100.03
20220601,99.7
20220701,99.43
20220801,99.21
20220901,99.04
20221001,98.91
20221101,98.81
20221201,98.74
20230101,98.7
20230201,98.67
20230301,98.66
20230401,98.69
20230501,98.75
20230601,98.84
20230701,98.92
20230801,98.99
20230901,99.03
20231001,99.06
20231101,99.12
20231201,99.22
20240101,99.36
20240201,99.5
20240301,99.62
20240401,99.69
20240501,99.72
20240601,99.74
20240701,99.79
20240801,99.9
20240901,100.05
20241001,100.23
20241101,100.41
20241201,100.55
20250101,100.65
20250201,100.68
20250301,100.68
