DateTime,Initial Claims
2006/4/1,299600
2006/5/1,306750
2006/6/1,332750
2006/7/1,307600
2006/8/1,319500
2006/9/1,314250
2006/10/1,316200
2006/11/1,315500
2006/12/1,326250
2007/1/1,324000
2007/2/1,317250
2007/3/1,322750
2007/4/1,309400
2007/5/1,320250
2007/6/1,304250
2007/7/1,315200
2007/8/1,313250
2007/9/1,318800
2007/10/1,313250
2007/11/1,328250
2007/12/1,337600
2008/1/1,349250
2008/2/1,338750
2008/3/1,346400
2008/4/1,368000
2008/5/1,359500
2008/6/1,366800
2008/7/1,383250
2008/8/1,398000
2008/9/1,433000
2008/10/1,464000
2008/11/1,478200
2008/12/1,527250
2009/1/1,564000
2009/2/1,572000
2009/3/1,644000
2009/4/1,659250
2009/5/1,627750
2009/6/1,612000
2009/7/1,598250
2009/8/1,564200
2009/9/1,560250
2009/10/1,547500
2009/11/1,525400
2009/12/1,494000
2010/1/1,485500
2010/2/1,479800
2010/3/1,485750
2010/4/1,470250
2010/5/1,465400
2010/6/1,461500
2010/7/1,460500
2010/8/1,459200
2010/9/1,475000
2010/10/1,453500
2010/11/1,418800
2010/12/1,430250
2011/1/1,420250
2011/2/1,426800
2011/3/1,401500
2011/4/1,406000
2011/5/1,420600
2011/6/1,422500
2011/7/1,418250
2011/8/1,412600
2011/9/1,409500
2011/10/1,415200
2011/11/1,401750
2011/12/1,389250
2012/1/1,377000
2012/2/1,377750
2012/3/1,363250
2012/4/1,366600
2012/5/1,381750
2012/6/1,373500
2012/7/1,379200
2012/8/1,372500
2012/9/1,372800
2012/10/1,384500
2012/11/1,368500
2012/12/1,396000
2013/1/1,355000
2013/2/1,353000
2013/3/1,353000
2013/4/1,351800
2013/5/1,347250
2013/6/1,347400
2013/7/1,344250
2013/8/1,346000
2013/9/1,333400
2013/10/1,314000
2013/11/1,358500
2013/12/1,328200
2014/1/1,346000
2014/2/1,327600
2014/3/1,332250
2014/4/1,321500
2014/5/1,322750
2014/6/1,313800
2014/7/1,313500
2014/8/1,301750
2014/9/1,302000
2014/10/1,295000
2014/11/1,287000
2014/12/1,294500
2015/1/1,284500
2015/2/1,287600
2015/3/1,301250
2015/4/1,284000
2015/5/1,286000
2015/6/1,274000
2015/7/1,273750
2015/8/1,276200
2015/9/1,276500
2015/10/1,269500
2015/11/1,267000
2015/12/1,268500
2016/1/1,271000
2016/2/1,279600
2016/3/1,266750
2016/4/1,263250
2016/5/1,266000
2016/6/1,274500
2016/7/1,265250
2016/8/1,259400
2016/9/1,263500
2016/10/1,250200
2016/11/1,258500
2016/12/1,245750
2017/1/1,252200
2017/2/1,244000
2017/3/1,230250
2017/4/1,230200
2017/5/1,230750
2017/6/1,239000
2017/7/1,249600
2017/8/1,249500
2017/9/1,247750
2017/10/1,272400
2017/11/1,242250
2017/12/1,247750
2018/1/1,242600
2018/2/1,235250
2018/3/1,221000
2018/4/1,225800
2018/5/1,221500
2018/6/1,221250
2018/7/1,222600
2018/8/1,209500
2018/9/1,207000
2018/10/1,206250
2018/11/1,213000
2018/12/1,226600
2019/1/1,222750
2019/2/1,222750
2019/3/1,222500
2019/4/1,211800
2019/5/1,209750
2019/6/1,219400
2019/7/1,225750
2019/8/1,208500
2019/9/1,211000
2019/10/1,209500
2019/11/1,212250
2019/12/1,224400
2020/1/1,236000
2020/2/1,213800
2020/3/1,211000
2020/4/1,2335250
2020/5/1,4663250
2020/6/1,2173400
2020/7/1,1490250
2020/8/1,1315600
2020/9/1,892000
2020/10/1,851750
2020/11/1,795400
2020/12/1,751250
2021/1/1,836750
2021/2/1,827800
2021/3/1,755000
2021/4/1,669250
2021/5/1,574600
2021/6/1,457250
2021/7/1,409750
2021/8/1,370000
2021/9/1,360000
2021/10/1,355500
2021/11/1,284800
2021/12/1,236500
2022/1/1,218400
2022/2/1,240250
2022/3/1,219500
2022/4/1,215000
2022/5/1,213200
2022/6/1,210000
2022/7/1,213500
2022/8/1,218200
2022/9/1,216500
2022/10/1,199000
2022/11/1,202000
2022/12/1,210750
2023/1/1,208000
2023/2/1,203500
2023/3/1,215000
2023/4/1,226400
2023/5/1,216500
2023/6/1,226250
2023/7/1,251000
2023/8/1,231500
2023/9/1,245000
2023/10/1,219000
2023/11/1,210250
2023/12/1,218000
2024/1/1,207400
2024/2/1,210000
2024/3/1,210750
2024/4/1,215000
2024/5/1,210250
2024/6/1,223400
2024/7/1,237250
2024/8/1,236500
2024/9/1,230800
2024/10/1,225000
2024/11/1,236250
2024/12/1,219400
2025/1/1,222250
2025/2/1,215200
2025/3/1,226500
