date,IPI,Real Manufacturing and Trade Industries Sales,Unemployment rate,Initial Claims,CPI,CLI
2006/4/1,98.6826,1205627,0.047,299600,200.7,101.33
2006/5/1,98.7074,1215535,0.046,306750,201.3,101.26
2006/6/1,99.0398,1212189,0.046,332750,201.8,101.2
2006/7/1,98.9751,1206927,0.047,307600,202.9,101.17
2006/8/1,99.4047,1213695,0.047,319500,203.8,101.18
2006/9/1,99.2246,1213475,0.045,314250,202.8,101.24
2006/10/1,99.1229,1214355,0.044,316200,201.9,101.34
2006/11/1,99.0963,1215059,0.045,315500,202,101.45
2006/12/1,100.1125,1234494,0.044,326250,203.1,101.58
2007/1/1,99.7546,1226965,0.046,324000,203.437,101.7
2007/2/1,100.7166,1234327,0.045,317250,204.226,101.81
2007/3/1,100.8952,1235875,0.044,322750,205.288,101.94
2007/4/1,101.5723,1233744,0.045,309400,205.904,102.05
2007/5/1,101.6269,1242000,0.044,320250,206.755,102.14
2007/6/1,101.6547,1240587,0.046,304250,207.234,102.19
2007/7/1,101.4953,1233195,0.047,315200,207.603,102.17
2007/8/1,101.6943,1248674,0.046,313250,207.667,102.1
2007/9/1,101.9428,1249279,0.047,318800,208.547,101.99
2007/10/1,101.6446,1255916,0.047,313250,209.19,101.87
2007/11/1,102.2167,1252867,0.047,328250,210.834,101.74
2007/12/1,102.2764,1242662,0.05,337600,211.445,101.62
2008/1/1,102.1493,1248910,0.05,349250,212.174,101.49
2008/2/1,101.7756,1236974,0.049,338750,212.687,101.34
2008/3/1,101.4508,1220580,0.051,346400,213.448,101.18
2008/4/1,100.7554,1233018,0.05,368000,213.942,100.98
2008/5/1,100.1336,1224494,0.054,359500,215.208,100.7
2008/6/1,99.8728,1222857,0.056,366800,217.463,100.31
2008/7/1,99.4194,1201769,0.058,383250,219.016,99.77
2008/8/1,97.8491,1192943,0.061,398000,218.69,99.07
2008/9/1,93.5576,1163601,0.061,433000,218.877,98.22
2008/10/1,94.4985,1152758,0.065,464000,216.995,97.29
2008/11/1,93.2617,1121305,0.068,478200,213.153,96.4
2008/12/1,90.6266,1115214,0.073,527250,211.398,95.65
2009/1/1,88.3712,1091570,0.078,564000,211.933,95.1
2009/2/1,87.843,1098345,0.083,572000,212.705,94.8
