Trade_date,SPY
19/04/2004,81.1842
20/04/2004,79.8219
21/04/2004,80.3569
22/04/2004,81.4837
23/04/2004,81.5622
26/04/2004,81.448
27/04/2004,81.5194
28/04/2004,80.4638
29/04/2004,79.7578
30/04/2004,79.1373
03/05/2004,79.986
04/05/2004,79.9218
05/05/2004,80.4353
06/05/2004,79.7435
07/05/2004,78.4241
10/05/2004,77.6181
11/05/2004,78.2743
12/05/2004,78.7736
13/05/2004,78.4455
14/05/2004,78.4811
17/05/2004,77.8107
18/05/2004,78.203
19/05/2004,77.932
20/05/2004,78.1816
21/05/2004,78.3171
24/05/2004,78.6452
25/05/2004,79.772
26/05/2004,80.0502
27/05/2004,80.4995
28/05/2004,80.4924
01/06/2004,80.3854
02/06/2004,80.6849
03/06/2004,79.9432
04/06/2004,80.578
07/06/2004,81.8047
08/06/2004,81.9188
09/06/2004,81.1557
10/06/2004,81.555
14/06/2004,80.7492
15/06/2004,81.3197
16/06/2004,81.3054
17/06/2004,81.1842
18/06/2004,81.3374
21/06/2004,81.0296
22/06/2004,81.4376
23/06/2004,82.1391
24/06/2004,81.8814
25/06/2004,81.4877
28/06/2004,81.2085
29/06/2004,81.5449
30/06/2004,81.9816
01/07/2004,80.8435
02/07/2004,80.8005
06/07/2004,80.0919
07/07/2004,80.3281
08/07/2004,79.7698
09/07/2004,79.9773
12/07/2004,80.0131
13/07/2004,80.0704
14/07/2004,79.827
15/07/2004,79.3116
16/07/2004,79.2472
19/07/2004,78.9108
20/07/2004,79.9129
21/07/2004,78.4383
22/07/2004,78.6531
23/07/2004,77.9946
26/07/2004,77.8442
27/07/2004,78.5743
28/07/2004,78.8106
29/07/2004,79.147
30/07/2004,79.3402
02/08/2004,79.5049
03/08/2004,78.8893
04/08/2004,78.8821
05/08/2004,77.5937
06/08/2004,76.4842
09/08/2004,76.5916
10/08/2004,77.5794
11/08/2004,77.4219
12/08/2004,76.5772
13/08/2004,76.7276
16/08/2004,77.5221
17/08/2004,77.9588
18/08/2004,78.7605
19/08/2004,78.5314
20/08/2004,79.0826
23/08/2004,78.8821
24/08/2004,78.9895
25/08/2004,79.5264
26/08/2004,79.5264
27/08/2004,79.7769
30/08/2004,79.1183
31/08/2004,79.5335
01/09/2004,79.6839
02/09/2004,80.5858
03/09/2004,80.2565
07/09/2004,80.7862
08/09/2004,80.5858
09/09/2004,80.5142
10/09/2004,80.9294
13/09/2004,81.1942
14/09/2004,81.3588
15/09/2004,80.7432
16/09/2004,80.9866
17/09/2004,81.3309
20/09/2004,80.8421
21/09/2004,81.1943
22/09/2004,80.1809
