,open,high,low,close,adjclose,volume,ticker
2009-11-23,75.04000091552734,75.16000366210938,75.04000091552734,75.16000366210938,45.183082580566406,2300,VCIT
2009-11-24,75.43000030517578,75.5,75.30000305175781,75.5,45.38744354248047,5000,VCIT
2009-11-25,75.47000122070312,75.73999786376953,75.36000061035156,75.5999984741211,45.447574615478516,6000,VCIT
2009-11-27,76.44000244140625,76.44000244140625,75.68000030517578,75.7300033569336,45.52573776245117,1900,VCIT
2009-11-30,75.70999908447266,75.94000244140625,75.70999908447266,75.94000244140625,45.6519889831543,8400,VCIT
2009-12-01,75.87999725341797,75.97000122070312,75.66999816894531,75.66999816894531,45.48966598510742,9700,VCIT
2009-12-02,75.68000030517578,75.69000244140625,75.5999984741211,75.5999984741211,45.447574615478516,1900,VCIT
2009-12-03,75.5999984741211,75.69000244140625,75.47000122070312,75.69000244140625,45.5016975402832,51100,VCIT
2009-12-04,75.41999816894531,75.47000122070312,75.29000091552734,75.4000015258789,45.32736587524414,9200,VCIT
2009-12-07,75.5,75.55999755859375,75.48999786376953,75.55000305175781,45.41752243041992,6100,VCIT
2009-12-08,75.87000274658203,76.0,75.66000366210938,75.7699966430664,45.54978561401367,28500,VCIT
2009-12-09,75.95999908447266,75.95999908447266,75.61000061035156,75.69999694824219,45.50769805908203,6300,VCIT
2009-12-10,75.56999969482422,75.77999877929688,75.5,75.76000213623047,45.543785095214844,5200,VCIT
2009-12-11,75.66999816894531,75.77999877929688,75.37999725341797,75.55999755859375,45.42356872558594,7300,VCIT
2009-12-14,75.58000183105469,75.7300033569336,75.54000091552734,75.6500015258789,45.4776611328125,11600,VCIT
2009-12-15,75.61000061035156,75.69999694824219,75.44999694824219,75.63999938964844,45.471614837646484,28600,VCIT
2009-12-16,76.22000122070312,76.22000122070312,75.69999694824219,75.87000274658203,45.60991668701172,29800,VCIT
2009-12-17,76.41000366210938,76.41000366210938,75.77999877929688,76.0199966430664,45.7000732421875,10100,VCIT
2009-12-18,76.05999755859375,76.0999984741211,75.93000030517578,75.94999694824219,45.658016204833984,6500,VCIT
2009-12-21,75.91999816894531,75.91999816894531,75.45999908447266,75.52999877929688,45.4055061340332,16700,VCIT
2009-12-22,75.31999969482422,75.37999725341797,75.31999969482422,75.37000274658203,45.30934524536133,7400,VCIT
2009-12-23,75.58000183105469,75.5999984741211,75.3499984741211,75.43000030517578,45.34541702270508,5400,VCIT
2009-12-24,75.0,75.05999755859375,74.91000366210938,74.91000366210938,45.27828598022461,7100,VCIT
2009-12-28,74.83999633789062,74.83999633789062,74.54000091552734,74.54000091552734,45.054664611816406,14700,VCIT
2009-12-29,74.79000091552734,74.80000305175781,74.0999984741211,74.77999877929688,45.1996955871582,17100,VCIT
2009-12-30,74.98999786376953,75.0,74.76000213623047,74.87999725341797,45.26018524169922,21800,VCIT
2009-12-31,74.7300033569336,74.91999816894531,74.62999725341797,74.88999938964844,45.2662239074707,107800,VCIT
2010-01-04,75.20999908447266,75.20999908447266,74.9000015258789,75.16000366210938,45.42940139770508,83000,VCIT
2010-01-05,75.37999725341797,75.68000030517578,75.3499984741211,75.66000366210938,45.73161697387695,58300,VCIT
2010-01-06,75.80000305175781,75.81999969482422,75.5,75.5,45.63490676879883,15100,VCIT
2010-01-07,75.80000305175781,75.86000061035156,75.56999969482422,75.73999786376953,45.78000259399414,8900,VCIT
2010-01-08,75.76000213623047,75.95999908447266,75.5999984741211,75.81999969482422,45.82831954956055,28400,VCIT
