DateTime,SPY,VCIT,Gold
20091123,88.3039,75.04000092,114.29
20091124,88.4393,75.43000031,114.73
20091125,88.7501,75.47000122,116.62
20091127,87.3078,76.44000244,115.06
20091130,87.6027,75.70999908,115.64
20091201,88.6863,75.87999725,117.38
20091202,88.6465,75.68000031,119.18
20091203,87.9533,75.59999847,118.7
20091204,88.4552,75.41999817,113.753
20091207,88.3198,75.5,113.11
20091208,87.3397,75.87000275,110.95
20091209,87.6664,75.95999908,110.84
20091210,88.1604,75.56999969,110.82
20091211,88.5349,75.66999817,109.32
20091214,89.1405,75.58000183,110.24
20091215,88.7262,75.61000061,110.21
20091216,88.8617,76.22000122,111.59
20091217,87.7939,76.41000366,107.34
20091218,88.2906,76.05999756,108.95
20091221,89.1878,75.91999817,106.95
20091222,89.5083,75.31999969,106.17
20091223,89.6845,75.58000183,106.55
20091224,90.1091,75.0,108.36
20091228,90.3014,74.83999634,108.55
20091229,90.1732,74.79000092,107.47
20091230,90.1412,74.98999786,106.93
20091231,89.276,74.73000336,107.31
20100104,90.7901,75.20999908,109.8
20100105,91.0304,75.37999725,109.7
20100106,91.0945,75.80000305,111.51
20100107,91.4791,75.80000305,110.82
20100108,91.7834,75.76000214,111.37
20100111,91.9116,75.94000244,112.85
20100112,91.0544,76.55999756,110.49
20100113,91.8235,76.19999695,111.54
20100114,92.0718,76.01000214,112.03
20100115,91.0384,76.19999695,110.86
20100119,92.176,76.48000336,111.52
20100120,91.2387,76.48000336,108.94
20100121,89.4843,76.06999969,107.37
20100122,87.4895,76.26999664,107.17
20100125,87.9381,76.19999695,107.48
20100126,87.5696,76.22000122,107.56
20100127,87.9862,76.26999664,106.528
20100128,86.9768,75.80000305,106.48
20100129,86.0315,76.12999725,105.96
20100201,87.3693,76.05999756,108.35
20100202,88.4268,75.90000153,109.13
20100203,87.9862,75.83000183,108.7
20100204,85.2704,75.83000183,104.37
20100205,85.4467,76.19000244,104.68
20100208,84.8298,76.13999939,104.04
20100209,85.8952,75.94999695,105.41
20100210,85.7271,75.73999786,105.12
20100211,86.6243,75.47000122,107.13
20100212,86.5522,76.08000183,107.04
20100216,87.9141,75.29000092,109.62
20100217,88.3307,75.29000092,109.25
20100218,88.8514,75.41000366,109.98
20100219,89.0356,75.26999664,109.47
20100222,89.0517,75.51000214,109.07
20100223,87.9702,75.66999817,107.89
20100224,88.7793,75.93000031,107.36
20100225,88.6591,75.83000183,108.31
20100226,88.7152,76.18000031,109.43
20100301,89.6365,76.13999939,109.43
20100302,89.8848,75.91000366,111.02
20100303,89.9649,76.29000092,111.63
20100304,90.2373,76.31999969,110.83
20100305,91.5271,76.47000122,110.81
20100308,91.5431,76.45999908,109.88
20100309,91.6953,76.51999664,109.718
20100310,92.1039,76.37999725,108.47
20100311,92.4884,76.58999634,108.6
20100312,92.4964,76.48000336,107.95
20100315,92.5205,76.54000092,108.36
20100316,93.2575,76.72000122,110.4
20100317,93.8103,77.05999756,109.59
20100318,93.7622,77.0,110.34
20100319,93.2876,76.87999725,108.28
20100322,93.7863,77.19000244,107.75
20100323,94.4459,77.23999786,108.32
20100324,93.9874,76.77999878,106.3
20100325,93.8346,76.37999725,106.78
20100326,93.7783,76.19999695,108.59
20100329,94.3736,76.40000153,108.75
20100330,94.4379,76.31999969,107.97
20100331,94.1161,76.37000275,108.95
20100401,94.7597,76.19000244,110.26
20100405,95.5319,75.86000061,110.89
20100406,95.7571,75.48000336,111.03
20100407,95.2101,76.0,112.49
20100408,95.5399,76.52999878,112.65
20100409,96.1674,76.19999695,113.64
20100412,96.3202,76.54000092,113.01
20100413,96.3926,76.83000183,112.69
20100414,97.4866,76.94999695,113.03
20100415,97.567,76.30000305,113.65
20100416,96.0146,76.97000122,111.24
20100419,96.3765,77.05000305,111.15
20100420,97.2372,77.0,111.46
20100421,97.0603,76.91000366,112.31
20100422,97.3499,77.61000061,111.84
20100423,97.9853,77.05999756,113.19
20100426,97.6153,77.23000336,112.75
20100427,95.3067,77.38999939,114.63
20100428,96.0306,77.19000244,114.31
20100429,97.2212,77.16999817,114.28
20100430,95.5721,77.08999634,115.36
20100503,96.8109,77.20999908,115.73
20100504,94.5344,77.40000153,114.87
20100505,93.9713,77.62000275,115.09
20100506,90.8502,77.31999969,118.486
20100507,89.4988,77.55999756,118.27
20100510,93.4404,77.76999664,117.57
20100511,93.175,77.27999878,120.656
20100512,94.4781,77.02999878,121.4
20100513,93.3037,77.11000061,120.56
20100514,91.6144,77.34999847,120.37
20100517,91.6627,77.51999664,119.36
20100518,90.4158,77.16000366,119.49
20100519,89.901,77.62999725,116.63
20100520,86.5064,77.69999695,115.84
20100521,87.7693,77.69999695,115.22
20100524,86.6431,77.69000244,116.84
20100525,86.7317,77.70999908,117.36
20100526,86.2088,77.30999756,118.47
20100527,89.0966,77.01000214,118.69
20100528,87.9785,76.77999878,118.881
20100601,86.4984,77.47000122,119.91
20100602,88.7507,76.76000214,119.78
