,AGG,DBC,SPY,,DateTime,Label
2007/4/1,0.663,0.058,0.280,,2007/4/1,1
2007/5/1, 0.778 , 0.000 , 0.222 ,,2007/5/1,1
2007/6/1, 0.528 , 0.041 , 0.431 ,,2007/6/1,1
2007/7/1, 0.512 , 0.072 , 0.417 ,,2007/7/1,1
2007/8/1, 0.653 , 0.056 , 0.291 ,,2007/8/1,1
2007/9/1, 0.683 , 0.040 , 0.278 ,,2007/9/1,2
2007/10/1, 0.703 , 0.028 , 0.270 ,,2007/10/1,2
2007/11/1, 0.693 , 0.039 , 0.267 ,,2007/11/1,2
2007/12/1, 0.788 , 0.010 , 0.202 ,,2007/12/1,2
2008/1/1, 0.764 , 0.091 , 0.145 ,,2008/1/1,2
2008/2/1, 0.767 , 0.128 , 0.105 ,,2008/2/1,2
2008/3/1, 0.753 , 0.157 , 0.090 ,,2008/3/1,2
2008/4/1, 0.785 , 0.151 , 0.064 ,,2008/4/1,2
2008/5/1, 0.788 , 0.182 , 0.030 ,,2008/5/1,2
2008/6/1, 0.779 , 0.221 , -   ,,2008/6/1,2
2008/7/1, 0.795 , 0.203 , 0.002 ,,2008/7/1,4
2008/8/1, 0.855 , 0.145 , 0.000 ,,2008/8/1,4
2008/9/1, 0.874 , 0.126 , -   ,,2008/9/1,4
2008/10/1, 0.857 , 0.143 , -   ,,2008/10/1,4
2008/11/1, 1.000 , -   , -   ,,2008/11/1,4
2008/12/1, 1.000 , -   , -   ,,2008/12/1,4
2009/1/1, 1.000 , -   , 0.000 ,,2009/1/1,4
2009/2/1, 1.000 , 0.000 , 0.000 ,,2009/2/1,4
2009/3/1, 1.000 , -   , -   ,,2009/3/1,4
2009/4/1, 1.000 , 0.000 , 0.000 ,,2009/4/1,3
2009/5/1, 1.000 , 0.000 , 0.000 ,,2009/5/1,3
2009/6/1, 1.000 , 0.000 , 0.000 ,,2009/6/1,3
2009/7/1, 1.000 , 0.000 , 0.000 ,,2009/7/1,3
2009/8/1, 1.000 , 0.000 , 0.000 ,,2009/8/1,3
2009/9/1, 1.000 , -   , -   ,,2009/9/1,3
2009/10/1, 1.000 , -   , -   ,,2009/10/1,3
2009/11/1, 0.973 , 0.026 , 0.001 ,,2009/11/1,3
2009/12/1, 0.848 , 0.092 , 0.060 ,,2009/12/1,3
2010/1/1, -   , 0.256 , 0.744 ,,2010/1/1,3
2010/2/1, 0.903 , 0.006 , 0.091 ,,2010/2/1,3
2010/3/1, 0.761 , 0.018 , 0.221 ,,2010/3/1,3
2010/4/1, 0.727 , 0.008 , 0.264 ,,2010/4/1,3
2010/5/1, 0.731 , 0.010 , 0.259 ,,2010/5/1,4
2010/6/1, 0.890 , -   , 0.110 ,,2010/6/1,3
2010/7/1, 0.909 , 0.000 , 0.091 ,,2010/7/1,4
2010/8/1, 0.902 , -   , 0.098 ,,2010/8/1,4
2010/9/1, 0.922 , 0.000 , 0.078 ,,2010/9/1,3
2010/10/1, 0.901 , 0.003 , 0.096 ,,2010/10/1,3
2010/11/1, 0.884 , -   , 0.116 ,,2010/11/1,3
